country	ches	year	pm
PT	-	-	GP-CDS-PP
PT	-	-	GP-CH
PT	-	-	GP-IL
PT	-	-	GP-L
PT	-	-	GP-PAN
PT	-	-	GP-PCP
PT	-	-	GP-PEV
PT	-	-	GP-PS
PT	-	-	GP-PSD
PT	-	-	IL
PT	-	-	Independente
PT	-	-	L
PT	-	-	Não-inscrito
PT	BE	1999	BE
PT	BE	2006	BE
PT	BE	2010	BE
PT	BE	2014	BE
PT	BE	2019	BE
PT	CDS-PP	1999	CDS-PP
PT	CDS-PP	2002	CDS-PP
PT	CDS-PP	2006	CDS-PP
PT	CDS-PP	2010	CDS-PP
PT	CDS/PP	2019	CDS-PP
PT	PAN	2019	PAN
PT	PCP	2019	PCP
PT	PEV	2019	PEV
PT	PP	2014	CDS-PP
PT	PS	1999	PS
PT	PS	2002	PS
PT	PS	2006	PS
PT	PS	2010	PS
PT	PS	2014	PS
PT	PS	2019	PS
PT	PSD	1999	PSD
PT	PSD	2002	PSD
PT	PSD	2006	PSD
PT	PSD	2010	PSD
PT	PSD	2014	PSD
PT	PSD	2019	PSD
SE	-	-	Q10585380
SE	-	-	Q3360009
SE	-	-	Q50383811
SE	-	-	Q61791721
SE	-	-	independent
SE	C	1999	C
SE	C	2002	C
SE	C	2006	C
SE	C	2010	C
SE	C	2014	C
SE	C	2019	C
SE	KD	1999	KD
SE	KD	2002	KD
SE	KD	2006	KD
SE	KD	2010	KD
SE	KD	2014	KD
SE	KD	2019	KD
SE	L	2019	L
SE	M	1999	M
SE	M	2002	M
SE	M	2006	M
SE	M	2010	M
SE	M	2014	M
SE	M	2019	M
SE	MP	1999	MP
SE	MP	2002	MP
SE	MP	2006	MP
SE	MP	2010	MP
SE	MP	2014	MP
SE	MP	2019	MP
SE	S/SAP	2019	S
SE	SAP	1999	S
SE	SAP	2002	S
SE	SAP	2006	S
SE	SAP	2010	S
SE	SAP	2014	S
SE	SD	2010	SD
SE	SD	2014	SD
SE	SD	2019	SD
SE	V	1999	V
SE	V	2002	V
SE	V	2006	V
SE	V	2010	V
SE	V	2014	V
SE	V	2019	V
SI	-	-	DL
SI	-	-	DLGV
SI	-	-	GAS
SI	-	-	Konkretno
SI	-	-	Lipa
SI	-	-	NP
SI	-	-	NeP
SI	AB	2019	SAB + ZaSLD
SI	DeSUS	2002	DeSUS
SI	DeSUS	2006	DeSUS
SI	DeSUS	2010	DeSUS
SI	DeSUS	2014	DeSUS
SI	DeSUS	2019	DeSUS
SI	LDS	2002	LDS
SI	LDS	2006	LDS
SI	LDS	2010	LDS
SI	LMS	2019	LMŠ
SI	Levica	2019	Levica
SI	NSI	2002	NSi
SI	NSI	2006	NSi
SI	NSI	2010	NSi
SI	NSI	2014	NSi
SI	NSI	2019	NSi
SI	PS	2014	PS
SI	SD	2010	SD
SI	SD	2014	SD
SI	SD	2019	SD
SI	SDS	2002	SDS
SI	SDS	2006	SDS
SI	SDS	2010	SDS
SI	SDS	2014	SDS
SI	SDS	2019	SDS
SI	SLS	2006	SLS
SI	SLS	2014	SLS
SI	SLS-SKD	2002	SLS+SKD
SI	SMC	2014	SMC
SI	SMC	2019	SMC
SI	SMS	2002	SMS
SI	SNS	2002	SNS
SI	SNS	2006	SNS
SI	SNS	2010	SNS
SI	SNS	2019	SNS
SI	ZL	2014	Levica + ZL
SI	ZLSD	2002	SD + ZLSD
SI	ZLSD	2006	SD + ZLSD
SI	ZaAB	2014	ZaAB
SI	Zares	2010	Zares
TR	-	-	ANA
TR	-	-	ANAP
TR	-	-	AP
TR	-	-	ATP
TR	-	-	BBP
TR	-	-	BDP
TR	-	-	DBP
TR	-	-	DEHAP
TR	-	-	DEVA
TR	-	-	DGP
TR	-	-	DP
TR	-	-	DSP
TR	-	-	DTP
TR	-	-	DYP
TR	-	-	EMEP
TR	-	-	FAZILET
TR	-	-	GP
TR	-	-	HADEP
TR	-	-	HAS
TR	-	-	HEP
TR	-	-	MEP
TR	-	-	MSP
TR	-	-	Memleket
TR	-	-	MÇP
TR	-	-	Refah
TR	-	-	SAADET
TR	-	-	SHP
TR	-	-	SODEP
TR	-	-	SOL
TR	-	-	TiP
TR	-	-	YENİPARTİ
TR	-	-	YP
TR	-	-	YTP
TR	-	-	YURTP
TR	-	-	Zafer
TR	-	-	eParti
TR	-	-	ÖDP
TR	AKP	2019	AKP
TR	CHP	2019	CHP
TR	HDP	2019	HDP
TR	IYI	2019	IYI
TR	MHP	2019	MHP
