ParlaMint-BE_2019-10-03-55-plenair-ip007x.u1	[[Le président:]] La séance est ouverte. De vergadering is geopend.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u24	[[07.01 Peter Mertens (PVDA-PTB):]] Mijnheer de voorzitter, mijnheer de minister, ik wil u in uw hoedanigheid van minister van Justitie en vicepremier drie vragen stellen over de stille staatshervorming die bezig is aan Vlaamse kant. Mijn eerste vraag gaat over het toekennen van sociale rechten. Volgens verschillende deskundigen op het vlak van sociale zekerheid is de beperking inzake het toekennen van rechten voor de Vlaamse Zorgkas mogelijk strijdig met artikel 23 van de Grondwet. Dat zou wel eens ongrondwettelijk kunnen zijn. Volgen uw diensten deze wetgeving en het omzetten ervan in decreten? In het geval er ongrondwettelijke aspecten zouden binnensluipen in de decreten over het toekennen van sociale rechten, bent u dan als minister van Justitie, met de Ministerraad, bereid om naar het Grondwettelijk Hof te stappen voor een verzoek tot nietigverklaring? Mijn tweede vraag heeft betrekking op de verschillende ministers van Justitie. U bent federaal minister van Justitie maar sinds een week hebben wij ook een Vlaamse minister van Justitie. De vraag is hoeveel ministers van Justitie dit land nodig heeft in uw federale visie? Moeten wij er twee, drie of vier hebben, zoals de vier ministers bevoegd voor klimaat en de vier ministers bevoegd voor energie? Zullen vier ministers van Justitie zorgen voor meer efficiëntie? Hoe zult u de efficiëntie garanderen bij een verdere opsplitsing op dat vlak? Mijn derde punt heeft betrekking op het klimaat. Ik lees in het nieuwe Vlaamse regeerakkoord dat men daar eenzijdig de klimaatdoelstelling wil verlagen tot 80 % reductie. U weet ook dat de klimaatambities tot nu toe in overleg interfederaal gegarandeerd werden. Of het nu gaat over het toekennen van sociale rechten, over justitie of over klimaatambities, ik merk dat bepaalde delen in ons land een soort conflictmodel aan het opleggen zijn dat zeker tot bevoegdheidsconflicten zal leiden. Ik vraag uw visie ter zake. Bent u als minister van Justitie bereid om, eventueel via de Ministerraad, naar het Grondwettelijk Hof te stappen om ongrondwettelijke decreten te laten vernietigen?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u25	[[07.02 Minister Koen Geens:]] Mijnheer Mertens, u hebt uw vraag zeer min geschat, want ik moet nu bijna het hele Vlaamse regeerakkoord becommentariëren. Dat is 319 bladzijden dik. Ik heb het in twee versies gelezen, deze van de VRT en de officiële, dus ik moet een beetje voorzichtig zijn. Wat de grond van de zaak betreft, men heeft gezegd dat de discriminatie inzake sociale voordelen zowel Europeesrechtelijk als grondwettelijk ernstig werd afgetoetst. Ik twijfel niet aan de ernst van degenen die dit akkoord hebben voorbereid. Ikzelf ben daartoe nog niet overgegaan, maar u weet dat de overheden in dit land wel eens naar het Grondwettelijk Hof stappen tegen beslissingen van een andere entiteit. Dat is dus perfect denkbaar, maar op het eerste gezicht lijkt mij dat hier niet nodig te zijn, gelet op de voorafgaande grondige voorbereidingen. Wat uw vraag naar een gemeenschapsminister van Justitie betreft, het volgende. zonder deze kwestie te durven relativeren, wijs ik erop dat de bevoegdheden die aan de Vlaamse minister van Justitie worden toegekend bevoegdheden zijn die voorheen door de Vlaamse minister van Welzijn werden uitgeoefend. Mijn goede ex-collega Jo Vandeurzen had die bevoegdheid tot gisteren. De voorbije vijf jaar zijn wij twee keer per jaar samengekomen in een interministeriële conferentie inzake de justitiehuizen, tot in Eupen, Brussel of Antwerpen toe, om samen de interministeriële samenwerking op het vlak van Justitie veilig te stellen. De Vlaamse bevoegdheden zijn niet uitgebreid. Zij worden nu gecentraliseerd onder een nieuwe Vlaamse minister, mijn voormalige federale collega Zuhal Demir, en ik verheug mij ten zeerste op de samenwerking met haar. Tot slot, de justitiehuizen zijn, als ik het akkoord goed gelezen heb, trouwens ondergebracht bij de Vlaamse minister-president, op de Kanselarij. Ik heb nu dus twee aanspreekpunten in Vlaanderen, mij beide bijzonder bekend. De komende samenwerking verheugt mij in hoge mate.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u26	[[07.03 Peter Mertens (PVDA-PTB):]] Mijnheer de minister, ik ben blij dat uw diensten nauwlettend de verschillende decreten zullen onderzoeken op de mogelijke ongrondwettelijkheid. Dat is zeer belangrijk. Ten gronde meen ik dat niemand in ons land zit te wachten op vier ministers bevoegd voor klimaat, vier ministers bevoegd voor energie en vier ministers van Justitie. Een minister van Justitie is meer dan genoeg, beste minister van Justitie. Terwijl dit Parlement een klein beetje leegloopt, terwijl er partijvoorzitters zijn, die u zeer goed zou moeten kennen, die eieren voor hun geld kiezen en een ander Parlement kiezen, terwijl er in dit Parlement ministers zijn die gekocht worden door de Vlaamse regering, mogen wij ons in het federaal Parlement wel eens de vraag stellen wie er in de komende periode conciërge van dit Parlement is? Wie zorgt ervoor dat alle Belgen hun grondwettelijke rechten toegekend krijgen? Wie zorgt ervoor dat er over het hele grondgebied niemand wordt gediscrimineerd? Wie zorgt ervoor dat er geen deelstaten zijn die hun conflictmodel tegenover de Belgische overheid kunnen opleggen met een verdeel-en-heerspolitiek? Dit is het Belgische Parlement en wij moeten ook van hieruit een signaal geven dat wij op geen enkel vlak het verdeel-en-heersprincipe zullen toepassen.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u27	[[De voorzitter:]] Mijnheer Mertens, over de inhoud van uw betoog ga ik mij niet uitspreken, maar ik wil u gelukwensen met uw maidenspeech.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u28	[[08.01 Philippe Goffin (MR):]] Monsieur le vice-premier ministre, ministre de la Justice, nous revenons sur une compétence fédérale: les prisons. Le syndicat Sypol-EPI a communiqué, hier, une réalité bien inquiétante au sein des prisons, à savoir que 5 % des détenus feraient la loi au sein des prisons. Faire la loi pour ces 5 % de détenus, dangereux et psychopathes selon ce syndicat, cela veut dire insulter les agents en toute impunité, se lever quand on veut, éventuellement faire pression sur d'autres détenus. Cela veut simplement dire faire la règle à l'intérieur des murs de la prison. Monsieur le vice-premier ministre, on peut évidemment s'inquiéter, comme le syndicat, de la capacité de ces personnes, si les faits sont avérés, à se réinsérer. Par ailleurs, selon ce syndicat, le TAP ne serait pas informé de ces faits dans les prisons puisque les gardiens ne rendraient plus ce type de rapport. Le syndicat a également dit qu'il se tenait à votre disposition pour vous communiquer toutes les informations précises sur le sujet. Monsieur le vice-premier ministre, avez-vous pris contact avec ce syndicat? Si tel est le cas, quelles sont les informations qui vous ont été communiquées? Si les informations vous ont été communiquées, parle-t-on d'un fait isolé dans une prison du pays ou dans plusieurs? Si ces faits sont avérés et si contact il y a eu, avez-vous déjà réfléchi à des mesures pour lutter contre ce phénomène? Je vous remercie.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u29	[[08.02 Koen Geens, ministre:]] Monsieur Goffin, cette question est, il est vrai, délicate. À la suite des déclarations des délégués de Sypol dans Sudpresse et selon lesquels, "en prison, 5 % des détenus imposent leur loi", mon administration a confirmé qu'il s'agissait d'une généralisation de quelques cas individuels. Les points soulevés seraient faux ou déformés. La décision concernant le régime auquel sont soumis ces détenus est prise au niveau de la direction régionale, la direction Sud, en l'espèce. Les membres du personnel de la prison en ont connaissance, et il ne s'agirait nullement de laxisme mais d'une gestion individualisée de la situation. Il convient également de démentir l'information selon laquelle l'administration libérerait ces détenus difficiles sur simple demande de leur part. Il s'agit presque toujours de personnes condamnées à des peines supérieures à trois ans. Cela signifie que seul le tribunal de l'application des peines est compétent pour octroyer une remise en liberté. Le TAP analyse systématiquement les contre-indications à une remise en liberté, telles que le danger de récidive et la dangerosité de l'individu. Je n'ai pas l'habitude de communiquer ici sur les personnes que je vais recevoir à l'avenir, même pas les syndicats. Mais si jamais ils me le demandaient, d'une façon plus ou moins officielle, je serais tout à fait disposé à les recevoir.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u30	[[08.03 Philippe Goffin (MR):]] Monsieur le vice-premier ministre, je vous remercie. Votre réponse n'appelle pas une longue réplique. Je constate que vous êtes attentif à la situation. Vous évoquez le fait que nous nous trouvons face à des cas manifestement isolés.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u31	[[09.01 Séverine de Laveleye (Ecolo-Groen):]] Monsieur le président, monsieur le ministre, chers collègues, il y a une semaine, l'usine Lubrizol située près de Rouen, en France, a pris feu. Il s'agit d'une entreprise classée Seveso seuil haut. Un nuage potentiellement chargé de poussières toxiques est donc arrivé jusqu'en Belgique et a touché la province du Hainaut pendant une période d'environ six heures. Deux niveaux de pollution étaient donc à craindre: d'une part, une pollution de l'air et, d'autre part, une pollution du sol suite à des retombées de poussières. Depuis jeudi, différentes démarches ont été entreprises au niveau wallon par la ministre de l'Environnement qui a mobilisé notamment l'Agence wallonne de l'Air et du Climat (AwAC) et les équipes de la Cellule Interrégionale de l'Environnement (CELINE). De son côté, le niveau fédéral s'est tu dans toutes les langues alors qu'il a un rôle central à jouer. Résultat: les citoyens et les citoyennes belges ont dû attendre plus de 24 heures pour être informés. Monsieur le ministre, plusieurs questions demeurent à ce jour. Pourquoi le Centre de Crise fédéral n'a-t-il pas pris l'initiative dans la gestion et la communication de cette urgence environnementale? N'est-ce pas son rôle? Quelles analyses de la qualité de l'air ont-elles été menées? Était-ce un contrôle classique ou un contrôle ciblé en lien avec les spécificités de l'usine Lubrizol? En d'autres termes, sommes-nous certains qu'aucun toxique n'a pu échapper au contrôle de la qualité de l'air, aujourd'hui? L'AFSCA a-t-elle été sollicitée par les autorités fédérales pour tester la pollution des sols, comme c'est le cas en France? Si oui, quand pouvons-nous espérer avoir connaissance des résultats?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u32	[[09.02 Pieter De Crem, ministre:]] Monsieur le président, madame de Laveleye, le 26 septembre 2019, un incendie s'est déclaré sur un site Seveso à Rouen en France. Notre Centre de Crise national (NCCN) a été informé directement par le Centre opérationnel de gestion interministérielle des crises en France (COGIC), prouvant le bon fonctionnement de la procédure de communi­cation entre pays voisins. Le message du COGIC signalait l'absence de risque pour notre pays. Lorsque les informations sont parues dans les médias signalant un impact en Belgique, le Centre de Crise national a suivi sa procédure interne et a entrepris les actions nécessaires pour vérifier ces informations. Le Centre de Crise national a contacté différentes autorités provinciales et régionales. Les zones de secours et les centres d'urgence 112 potentiellement concernés par le nuage de fumée ont aussi été avertis. Ceux-ci n'ont recensé aucune démarche d'intervention liée à l'incendie de Rouen du jeudi 26 septembre au lundi 30 septembre 2019. Compte tenu de cet état de fait, la protection civile n'a effectué aucune mission dans le cadre des potentielles conséquences de cet accident car aucune demande d'intervention n'a été exigée par les autorités publiques, étant donné qu'aucune phase n'a été déclenchée. Rappelons que les matières environnementales, que sont les pollutions du sol et de l'air, sont une compétence régionale et que, par conséquent, le Centre de Crise national a pris acte de la communication de la Cellule interrégionale de l'Environnement concernant l'incendie à Rouen. Je cite: "Après analyse plus approfondie, l'impact de l'incendie de Rouen était mesurable dans certaines situations et, dans toutes les stations de mesure, une légère augmentation des concentrations en black carbon (suies) a été observée durant une courte période le 26 septembre." Il est évident que le Centre de Crise continue à suivre la situation et reste prêt à organiser une coordination si la situation venait à l'exiger.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u33	[[De voorzitter:]] Ik zou zowel aan de vraagsteller als aan de minister willen vragen om te werken zonder vooraf uitgeschreven teksten. Dat maakt het debat veel levendiger. Mais c'est votre première intervention. Je vous félicite d'ailleurs.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u34	[[09.03 Séverine de Laveleye (Ecolo-Groen):]] Monsieur le ministre, je vous remercie. On entend que le Centre de Crise national a pris ses responsabilités. Nous constatons quand même qu'il y a eu une perte de temps entre l'intervention wallonne et l'intervention fédérale. Je ne dois pas vous rappeler, monsieur le ministre, que nous avons 395 sites Seveso en Belgique. Nous sommes donc en droit de nous demander si notre gestion des crises possibles, sur notre territoire ou en dehors, est optimale. Tant les agriculteurs que les citoyens ont été en demande, et le sont encore, d'une information plus rapide, plus efficace et plus transparente pour rassurer tout le monde dans des délais qui permettraient une plus grande tranquillité publique.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u35	[[10.01 Tim Vandenput (Open Vld):]] Mijnheer de minister, de veiligheid organiseren in ons land is de kernopdracht van de federale overheid. Gisteren hebben wij in de commissie voor Binnenlandse Zaken een hoorzitting gehad over de optimalisatie van de federale politie. Er is goed en slecht nieuws. Het goede nieuws is dat de federale politie door de optimalisatie efficiënter werkt, maar het slechte nieuws is dat de federale politie gewoon met te weinig mensen is. Door de focus op terreur, die er vandaag terecht is, kan zij andere fenomenen niet aanpakken, zoals de georganiseerde misdaad. De realiteit is dat de lokale politie vandaag de federale politie helpt, terwijl de wet zegt dat het juist omgekeerd moet zijn. Er lopen nog steeds militairen op straat, terwijl de DAB net voor die taken is opgericht; de medewerkers daar hebben onze militairen nog altijd niet vervangen. De uitstroom bij de politie is groter dan de instroom. Dat zorgt ervoor dat er op termijn minder mensen voor onze veiligheid zullen zorgen. Het fameuze rekruteringssysteem loopt een beetje mank en werkt niet snel genoeg. Er komen dus veel te weinig mensen binnen. Soms blijkt het tot een jaar te duren vanaf het moment dat een kandidaat zich aanmeldt tot het moment de persoon in kwestie toelating krijgt om aan de politieschool te beginnen. Daardoor haken mensen af en kiezen zij voor een andere job. Ten slotte wordt nieuwe technologie, die ruim voorhanden is, niet genoeg ingezet bij de politie. Eigenlijk heeft de politie de boot volledig gemist. Mijnheer de minister, als er morgen een nieuwe terroristische aanslag plaatsvindt – de heer Bruggeman haalde dat voorbeeld gisteren aan in de commissie –, wat zal er dan gedaan worden? Wat moet daarnaast gebeuren om de georganiseerde misdaad aan te pakken? Hoe staat het met de invulling van de DAB en wanneer zullen de medewerkers ervan de militairen op straat vervangen? Hoe kunnen wij de instroom van nieuwe politiemensen versnellen en verhogen in de komende maanden en jaren? Welke slimme investeringen staan er nog op de agenda?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u36	[[10.02 Minister Pieter De Crem:]] Mijnheer de voorzitter, ik zal proberen uw consigne te volgen en het kort te houden. Ten eerste, toen ik eind december van vorig jaar aantrad, waren er heel wat werven, die nog moesten worden afgewerkt. Het ging onder meer over het deficit aan personeel en middelen, de rekrutering en de selectie, het sectoraal akkoord en de terreurdreiging. Op elk ervan is er vooruitgang geboekt. Ik zal het niet zozeer hebben over het tot stand gekomen sectoraal akkoord en ook niet over de beslissing van de regering, waarvan uw partij deel uitmaakte, om de militairen in het straatbeeld te houden. Ik zal het ook niet hebben over de databank om gegevens over terroristen op te slaan, maar wel over de gezichtsherkenning. Dat laatste is bijzonder belangrijk in het kader van de strijd tegen het terrorisme. Ik heb die werf opnieuw opgestart. Het rapport, waarnaar u verwijst en waarover de heer Bruggeman gisteren uitleg heeft gegeven in de commissie voor Binnenlandse Zaken, dateert van de periode 2014-2018. Ik hoef u niet te herhalen dat ik geen groot voorstander ben van het opentrekken van paraplu's en ik zal dan ook mijn verantwoordelijkheid nemen. Wat de rekrutering betreft, die werd naar een hoger niveau gebracht. Er werden zowat 1 500 à 1 600 mensen aangeworven. Dat zijn er nagenoeg 400 meer dan onder het beleid van mijn voorganger. Ik vestig ook uw aandacht op de aspirantenmobiliteit, die ervoor moet zorgen dat mensen onmiddellijk in de zones kunnen terechtkomen of in de dienst die zij hebben gevraagd. Dankzij het opslaan van passagiersgegevens werden er afgelopen zomer 5 miljoen mensen gecontroleerd op de luchthaven van Zaventem. Dat is nog nooit gebeurd in het kader van de strijd tegen het terrorisme. Ongeveer 100 mensen werden effectief gerepertorieerd als potentieel terrorist of bedreiging voor onze veiligheid. Natuurlijk sluit ik mij aan bij uw vraag naar meer middelen. Ik hoop dat u bij de goedkeuring van de voorlopige kredieten een genereuze geste zult doen om de middelen voor de politie op te krikken. Alleszins mag gefilterde informatie uit het rapport niet verkeerdelijk worden gebruikt om de mensen schrik aan te jagen. Wij hebben sinds de terreurdreiging de nodige lessen getrokken. Er is gezorgd voor bijkomende rekrutering en onze politiemensen leveren goed werk met de bestaande middelen. Tot slot wil ik gerust toegeven dat er nog ruimte is voor verbetering, maar het rapport is in elk geval niet van toepassing op de periode die in december 2018 is gestart.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u37	[[10.03 Tim Vandenput (Open Vld):]] Mijnheer de minister, bedankt voor uw antwoord. Op bepaalde werven is er zeker vooruitgang geboekt, sinds u het departement in december 2018 hebt overgenomen. Toch wil ik er de nadruk op leggen dat er sneller moet worden aangeworven. Er zijn voorbeelden van fast-track, momenteel uitgevoerd in Brussel en Vlaams-Brabant, waarbij kandidaten binnen een periode van twee tot drie weken uitsluitsel krijgen over de vraag of zij al dan niet een opleiding aan de politieschool kunnen starten. Zulke goede voorbeelden moeten wij structureel implementeren, zodat mensen niet langer een jaar hoeven te wachten, vooraleer zij bij de politie kunnen beginnen, maar slechts zowat een maand, eigenlijk zoals in de privésector. Ik kijk uit naar die vooruitgang.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u38	[[11.01 Hervé Rigot (PS):]] Madame la ministre, avant toute chose, permettez-moi de vous dire que je suis très heureux de vous poser ma première question d'actualité, puisque vous étiez encore - voici deux semaines - ma ministre de tutelle lorsque je travaillais chez Fedasil. À longueur de journée, les infirmières et les infirmiers courent, prodiguent des soins, manipulent des patients et des charges lourdes et côtoient la douleur physique ainsi que morale des patients et de leurs familles. Quelquefois, ils côtoient malheureusement la mort. Ils le font en tentant de concilier difficilement leur vie privée et leur activité professionnelle, compte tenu des gardes et des horaires complexes qu'ils doivent gérer. Malgré tous leurs efforts, il faut constater que les patients se sentent insuffisamment pris en charge et écoutés. Parfois même, ils l'expriment avec agressivité envers celles et ceux qui essaient d'exercer leur art, mais qui ne disposent pas d'assez de moyens pour y parvenir. Madame la ministre, les infirmières et les infirmiers en ont ras-le-bol. Qu'ils travaillent en hôpital ou en maison de repos - ou encore au domicile des patients -, ils le font dans des conditions insupportables. Les patients sont de plus en plus nombreux, les soins à prodiguer sont de plus en plus complexes, tandis que les responsabilités ne cessent de s'accroître, tout comme la flexibilité qui leur est demandée. Comme vous le savez, le personnel souffre d'un manque d'effectifs chronique et d'un sous-financement permanent. Aujourd'hui, la presse rapporte la situation insupportable des infirmières et des infirmiers à domicile. Plus généralement, ce sont les conditions de travail de tous les infirmiers et infirmières qui sont relayées - eux qui, depuis plusieurs mois, crient dans la rue dans le cadre des "mardis des blouses blanches". Madame la ministre, mes questions seront simples. Entendez-vous ce cri d'alarme qui est poussé chaque mardi par les blouses blanches? Avez-vous rencontré les experts concernés ainsi que les hommes et femmes du secteur? Comme vous le savez, par le passé, les infirmières ont été écoutées, puisque fut élaboré un vaste plan d'attractivité. Pensez-vous qu'il faille le pérenniser? Pensez-vous qu'il faille prendre de nouvelles mesures pour renforcer l'attractivité et pour rendre davantage de moyens à ceux qui exercent leur art avec humanité?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u39	[[11.02 Maggie De Block, ministre:]] Monsieur Rigot, j'apprécie beaucoup le travail réalisé par les infirmiers dans les hôpitaux, à domicile ou dans les maisons de repos. Il est certain qu'ils doivent recevoir la reconnaissance qu'ils méritent. Les infirmiers à domicile deviennent de plus en plus importants en raison du vieillissement, de l'augmentation des soins chroniques et du raccourcissement des séjours à l'hôpital. Il faut oser remettre en question les tâches principales du praticien de l'art infirmier. La question est de savoir s'il leur incombe bien d'administrer des soins d'hygiène de routine. Ne faudrait-il pas plutôt collaborer avec d'autres prestataires comme les aides-soignants et les services d'aide familiale? Cela permettrait d'adapter la rémunération des infirmiers en tenant compte de leur niveau important de compétence. Pendant cinq ans, nous avons beaucoup investi dans les soins infirmiers dans le cadre de l'accord social. Un budget de plus de 400 millions a été dégagé pour augmenter les rémunérations et pour renforcer le second pilier de pension. Nous avons également adopté des mesures qualitatives en matière d'organisation et renforcé les équipes mobiles en leur attribuant en priorité des moyens supplémentaires issus du tax shift. Le Comité de l'assurance élabore en ce moment un budget des soins de santé pour 2020. En outre, il sera possible, lors des négociations budgétaires, de mettre certains accents et d'orienter des moyens disponibles vers les secteurs qui ont le plus besoin d'attention. Vous savez que j'attends l'avis du Comité de l'assurance. Ce n'est pas à moi de décider. Le processus doit suivre son cours, peut-être jusqu'au Parlement.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u40	[[11.03 Hervé Rigot (PS):]] Madame la ministre, je suis content d'apprendre que vous avez entendu, comme nous, que les infirmières et infirmiers sont à bout de souffle – c'est un comble pour du personnel des soins de santé. Tous les signaux d'alerte sont là. Vous dites avoir déjà débloqué certains fonds. Manifestement, ils demeurent encore insuffisants, puisque la surcharge de travail est là, le manque d'effectifs est flagrant, les cris dans la rue retentissent aujourd'hui. S'il vous plaît, madame la ministre, il est essentiel que nos infirmières et infirmiers ne pâtissent plus de la situation. Ils mettent leur santé en péril pour prodiguer des soins de qualité. Lorsqu'ils ne sont pas suffisamment au chevet des patients, lorsqu'ils ne sont pas assez nombreux pour prodiguer des soins de santé de qualité, c'est toute la patientèle, ce sont tous les citoyens que l'on met en danger. Ce n'est pas acceptable et il faut y travailler dès à présent par une vraie revalorisation. Vous l'avez dit, c'est essentiel. Je vous en prie, ne faites pas la sourde oreille sur la question, parce que sinon, madame la ministre, vous resterez la ministre de la Santé qui aura juste coupé deux milliards dans le budget des soins de santé.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u41	[[Le président:]] Monsieur Rigot, félicitations pour votre première intervention à cette tribune.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u42	[[12.01 Joris Vandenbroucke (sp.a):]] Mijnheer de voorzitter, mijnheer de minister, collega's, wij hebben vanochtend bijzonder slecht nieuws gekregen. Vias meldde dat in de eerste helft van dit jaar er 65 mensen meer het leven hebben verloren op de Belgische wegen tegenover de eerste helft van vorig jaar. Dat is natuurlijk verschrikkelijk, mijnheer de minister, en u zult het met mij eens zien, en iedereen hier wellicht, dat elke verkeersdode er een te veel is. De regering had zich ertoe geëngageerd om ervoor te zorgen dat tegen 2020 het aantal dodelijke verkeersslachtoffers zou worden gehalveerd ten opzichte van tien jaar geleden. Ik heb het even nagekeken. Die ambitie is amper voor de helft waargemaakt. Wij zijn op de slechte weg wat dat betreft. Het spijt mij het te moeten zeggen, mijnheer de minister, maar het verbaast mij niet als ik zie welk beleid u heeft gevoerd. In het regeerakkoord werd heel sterk de nadruk gelegd op het aanpakken van recidivisten, mensen die keer op keer in de fout gaan en die we van de weg moeten halen. Wat heeft u gedaan? De invoering van het rijbewijs met punten is een maatregel waarvan experten zeggen dat die zeer efficiënt is om recidivisten van de weg te halen en mensen die zich houden aan de verkeersreglementen, te belonen. Dat heeft u van tafel geveegd. Ondertussen zijn er 22 landen in de Europese Unie waar dit werd ingevoerd. Wij lopen hier achter. De Mercuriusdatabank moet worden gebruikt door onze politiediensten wanneer ze iemand tegenhouden, om te kunnen zien of van iemand het rijbewijs werd ingetrokken door de rechter. Die databank is er al twee jaar, maar is niet operationeel door personeelstekort bij de ICT-diensten. Wat heeft u wel gedaan? Mijnheer Bellot, u hebt laten onderzoeken of de maximumsnelheid op de Belgische autosnelwegen kan worden verhoogd naar 130 kilometer per uur, terwijl iedereen weet dat hoe hoger de maximumsnelheid is, hoe hoger de kans op dodelijke verkeersslachtoffers. We zouden net het omgekeerde moeten bereiken! Mijn vraag aan u is heel eenvoudig. Deelt u mijn analyse? Bent u nog van plan om de komende weken of maanden binnen de mogelijkheden die u heeft werk te maken van de uitvoering van een wet die 30 jaar geleden al werd goedgekeurd in het Parlement, namelijk de invoering van het rijbewijs met punten?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u43	[[12.02 Emmanuel Burton (MR):]] Monsieur le président, chers collègues, monsieur le ministre, nous avons reçu, ces dernières heures, le rapport de Vias qui est assez inquiétant avec 306 décès ce premier semestre, sachant qu'il s'agit d'une augmentation de 27 % par rapport aux autres années. Il faut dire que la sécurité routière est l'affaire de tous. Elle nous préoccupe beaucoup. On constate dans ces augmentations de décès que les motards, les cyclistes et les automobilistes sont autant touchés les uns que les autres mais dans des proportions différentes. On remarque aussi que deux Régions du pays, la Région flamande et la Région wallonne, sont impactées de la même manière. De plus, on constate une augmentation des décès des jeunes automobilistes alors que depuis quatre ans, on connaissait une diminution. Bien qu'on ait une diminution du nombre de blessés, on se retrouve quand même avec une évolution qui est négative, pour la première fois, depuis sept ans, si je ne m'abuse. Mes questions sont très simples. Monsieur le ministre, avez-vous des informations sur les explications de ces résultats? Quelles démarches allez-vous entreprendre quant à l'interprétation de ceux-ci, y compris avec les Régions qui composent notre pays? L'objectif de diminution prévu pour 2020 est-il toujours accessible? Enfin, quelles actions allez-vous prendre à court, moyen et long terme?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u44	[[12.03 François Bellot, ministre:]] Monsieur le président, chers collègues, la sécurité routière a ceci de particulier qu'elle touche tout le monde au quotidien, en particulier les familles qui vivent de véritables drames humains. Lorsque je suis arrivé aux responsabilités, je me suis inscrit dans les objectifs des États généraux de la sécurité routière de 2015 qui visaient une réduction de 50 % par rapport à 2010. Le message des États généraux était: "Tous ensemble, nous pouvions y arriver". Après sept années consécutives de diminution, soit une diminution de 38 % du nombre de tués en 2011 et 2018, nous étions d'ailleurs en bonne voie pour atteindre l'objectif, notamment parce que nous avons mis en œuvre la quasi-totalité des quinze mesures préconisées en 2015. Entre autres, nous avons alourdi les peines pour les récidivistes, les délits de fuite, ainsi que toutes les peines relativement importantes. Iedereen moet wel zijn deel van de verantwoordelijkheid opnemen. Verkeersveiligheid is immers een zaak van veel ministers, onder wie de drie gewestelijke ministers van Mobiliteit voor de sensibilisering, de rijopleiding en de wegeninfrastructuur, de minister van Justitie voor de vervolging en de bestraffing en ikzelf voor het regelgevend kader. Op vijf jaar tijd zijn de verplaatsingsgewoontes veranderd als gevolg van de opkomst van nieuwe verplaatsingsmodi. Zo hebben wij bijvoorbeeld een wetgevend kader ontwikkeld voor de speedpedelecs. Het is belangrijk dat wij onze aanpak blijven aanpassen op basis van de nieuwe tendensen. C'est pourquoi, après sept années consécutives de baisse du nombre de tués, j'en appelle à la tenue de nouveaux États généraux de la sécurité routière, le plus vite possible, en 2020. Il convient d'analyser les causes en profondeur et de nous concerter, les trois ministres régionaux, mes deux collègues fédéraux de l'Intérieur et de la Justice et moi-même, en vue d'actions pour remédier à la situation. Wat het rijbewijs met punten betreft, blijkt uit studies dat het Belgisch wetgevend kader een van de strengste van Europa is, behalve inzake de nultolerantie voor onervaren bestuurders. In de vorige legislatuur heb ik in dat verband een voorstel ingediend. In de toekomst zullen wij die stap moeten durven zetten. Cependant, nous pouvons prendre les règles que nous voulons: s'il n'y a pas davantage de contrôles le long des routes, ni une bonne application des règles, cela ne changera pas. Vous parlez de Mercurius. Il faut savoir que la moitié des parquets du pays n'alimente pas encore la base de données qui a été mise en place. Il faudra donc insister encore et encore pour établir qui est récidiviste et qui purge des peines lourdes. Je terminerai par un rappel au sujet des alcoolocks, c'est-à-dire des éthylotests anti-démarrage pour les fortes concentrations d'alcool. Plus de 1 000 automobilistes aujourd'hui ont été condamnés à ce genre de peines. Ces automobilistes-là peuvent continuer à rouler mais ne peuvent rouler que s'ils n'ont pas bu du tout. Avant, on leur retirait le permis. On sait qu'une bonne proportion d'entre eux continuaient à rouler parce qu'ils n'avaient pas d'alternative. Il faut renforcer la loi qui a à peine un an, afin qu'elle puisse entrer pleinement en application. Nous osons espérer que cela se passera progressivement. Il faut continuer. C'est un travail de longue haleine. Il faut, de manière permanente, s'adapter à de nouveaux phénomènes.
